#Digilent WaveForms Oscilloscope Acquisition,,,,,,,,
#Device Name: Discovery2,,,,,,,,
#Serial Number: SN:210321AE0290,,,,,,,,
#Date Time: 2024-09-22 20:45:31.093,,,,,,,,
#Sample rate: 800000Hz,,,,,,,,
#Samples: 8192,,,,,,,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s,,,,,,,,
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Channel 2: Range: 500 mV/div Offset: 0 V Sample Mode: Average,,,,,,,,
#Wavegen Channel 1: Running,,,,,,,,
#Mode: Custom,,,,,,,,
#Type: Custom1,,,,,,,,
#Frequency: 200 Hz,,,,,,,,
#Period: 5 ms,,,,,,,,
#Amplitude: 1 V,,,,,,,,
#Offset: 0 V,,,,,,,,
#Phase: 0 °,,,,,,,,
,,,,,,,,
Time (s),Channel 1 (V),Channel 2 (V),,,,,Average Noise%Err,
-0.004812083,0.2153362884521247,0.002089643,,0.233954464,7.958033713,,,
-0.004810833,0.2166816501127529,0.002424576,,0.235481377,7.98353028,,,
-0.004809583,0.2183633521885396,0.002424576,,0.23700771,7.866561639,,,
-0.004808333,0.2197087138491688,0.002089643,,0.238533458,7.891867213,,,
-0.004807083,0.2203813946794829,0.002424576,,0.240058617,8.196840594,,,
-0.004805833,0.222063097,0.002424576,,0.241583184,8.080068615,,,
-0.004804583,0.2223994371704262,0.002424576,,0.243107155,8.517938305,,,
-0.004803333,0.223744799,0.002759509,,0.244630526,8.537661741,,,
-0.004802083,0.2247538200765262,0.002424576,,0.246153293,8.693555422,,,
-0.004800833,0.2264355221523127,0.00175471,,0.247675453,8.57571094,,,
-0.004799583,0.2281172242280993,0.003094442,,0.249197002,8.459081615,,,
-0.004798333,0.2291262454735704,0.002759509,,0.250717936,8.611944936,,,
-0.004797083,0.2301352667190429,0.002424576,,0.252238252,8.762741045,,,
-0.004795833,0.2318169687948282,0.002424576,,0.253757945,8.646419258,,,
-0.004794583,0.23316233,0.002424576,,0.255277012,8.663013149,,,
-0.004793333,0.2345076921160859,0.002424576,,0.256795449,8.679186727,,,
-0.004792083,0.2358530537767147,0.002089643,,0.258313252,8.694946198,,,
-0.004790833,0.237534756,0.003094442,,0.259830418,8.580851491,,,
-0.004789583,0.2385437770979724,0.003429376,,0.261346943,8.725246901,,,
-0.004788333,0.240225479,0.002759509,,0.262862823,8.611846986,,,
-0.004787083,0.2412345004192301,0.002089643,,0.264378055,8.753961991,,,
-0.004785833,0.2429162024950171,0.002759509,,0.265892634,8.641244113,,,
-0.004784583,0.2449342449859595,0.003094442,,0.267406557,8.403800002,,,
-0.004783333,0.2459432662314311,0.002759509,,0.268919821,8.5440167,,,
-0.004782083,0.2472886278920594,0.002759509,,0.27043242,8.558068784,,,
-0.004780833,0.24897033,0.003764309,,0.271944353,8.448060346,,,
-0.004779583,0.2506520320436314,0.002424576,,0.273455615,8.339043461,,,
-0.004778333,0.251997394,0.003094442,,0.274966201,8.353320377,,,
-0.004777083,0.2530064149497334,0.002759509,,0.27647611,8.488869038,,,
